qid,candidates,native_ndcg,native_recall,native_mrr,solr_ndcg,solr_recall,solr_mrr,native_hit_count,solr_hit_count
63284,375,0,0,0,0.19930623359011798,0.06521739130434782,0.125,10,10
63294,89,0.0636207881989517,0.0625,0.1,0.0636207881989517,0.0625,0.1,10,10
63817,52,0,0,0,0.09478836436955078,0.0625,0.25,10,10
64137,65,0,0,0,0.5103515512676446,0.26666666666666666,1,10,10
64314,0,-0,0,0,0.18764419468809046,0.06666666666666667,0.5,0,10
64400,110,0,0,0,0.17318663334822612,0.05128205128205128,0.25,10,10
65005,82,0,0,0,0.1388624438735545,0.0625,0.5,10,10
65076,68,0.27267015568947806,0.25,0.14285714285714285,0.17630010660342912,0.125,0.3333333333333333,10,10
65323,42,0,0,0,0.06625422345438903,0.0625,0.1111111111111111,10,10
65477,110,0,0,0,0,0,0,10,10
66046,149,0.6489315753318465,0.3125,1,0,0,0,10,10
68500,115,0,0,0,0.1356854453911663,0.07142857142857142,0.125,10,10
68709,51,0.07336392209936005,0.0196078431372549,0.14285714285714285,0.14782949091545258,0.0392156862745098,0.16666666666666666,10,10
69814,28,0.6410457898283652,0.5,0.3333333333333333,0.710022634839788,0.4375,1,10,10
70062,28,0.27267015568947806,0.25,0.14285714285714285,0.3093521167391581,0.25,0.3333333333333333,10,10
70501,37,0.0636207881989517,0.0625,0.1,0.5684579545875155,0.375,0.5,10,10
70528,103,0,0,0,0,0,0,10,10
70765,0,-0,0,0,-0,0,0,0,0
70969,226,0,0,0,0,0,0,10,10
71287,334,0,0,0,0,0,0,10,10
72286,123,0,0,0,0,0,0,10,10
72616,87,0,0,0,0.06943122193677725,0.0625,0.125,10,10
73068,1433,0,0,0,0,0,0,10,10
73287,103,0,0,0,0,0,0,10,10
73856,0,-0,0,0,-0,0,0,0,0
74987,62,0,0,0,0,0,0,10,10
76230,113,0,0,0,0.07839826897867533,0.0625,0.16666666666666666,10,10
76360,158,0,0,0,0.1388624438735545,0.0625,0.5,10,10
78449,63,0,0,0,0,0,0,10,10
78929,31,0.35106842466815336,0.3125,0.16666666666666666,0.2837125544970318,0.125,1,10,10
80642,37,0.4690000933206747,0.2,1,0.2940945979596688,0.26666666666666666,0.25,10,10
80979,32,0.0636207881989517,0.0625,0.1,0.4789015552876929,0.25,1,10,10
81306,0,-0,0,0,-0,0,0,0,0
81834,90,0,0,0,0,0,0,10,10
82625,36,0,0,0,0.6496872770120411,0.375,1,10,10
83035,48,0,0,0,0.15176219107803537,0.125,0.16666666666666666,10,10
83137,32,0.4673791184803735,0.375,0.25,0.14782949091545258,0.125,0.16666666666666666,10,10
83696,38,0.5111707781750245,0.375,0.3333333333333333,0.7479350596733328,0.4375,1,10,10
84285,34,0,0,0,0,0,0,10,10
84287,0,-0,0,0,-0,0,0,0,0
84777,150,0,0,0,0,0,0,10,10
84887,34,0,0,0,0,0,0,10,10
87758,0,-0,0,0,0,0,0,0,10
88220,62,0,0,0,0.38431135260440824,0.07692307692307693,1,10,10
88976,434,0,0,0,0.06625422345438903,0.0625,0.1111111111111111,10,10
89000,1777,0,0,0,0,0,0,10,10
89379,40,0.2874476364692017,0.25,0.16666666666666666,0.46392645631755636,0.3125,0.5,10,10
89392,200,0,0,0,0,0,0,10,10
89908,269,0,0,0,0,0,0,10,10
90714,28,0,0,0,0,0,0,10,10
92217,25,0,0,0,0,0,0,10,10
92257,35,0,0,0,0.06943122193677725,0.07692307692307693,0.125,10,10
93061,54,0,0,0,0.31833954895937183,0.2,0.5,10,10
94191,30,0,0,0,0.6594803070902429,0.375,1,10,10
94250,37,0,0,0,0.1396181455537491,0.14285714285714285,0.14285714285714285,10,10
95371,41,0,0,0,0,0,0,10,10
96070,1157,0,0,0,0,0,0,10,10
96144,64,0,0,0,0.11243018208286118,0.0625,0.3333333333333333,10,10
96650,0,-0,0,0,-0,0,0,0,0
97678,0,-0,0,0,-0,0,0,0,0
97727,2,0.35895421017163465,0.125,1,0.35895421017163465,0.125,1,2,2
97866,30,0.35106842466815336,0.3125,0.16666666666666666,0.34685330469621795,0.25,0.3333333333333333,10,10
98010,199,0,0,0,0.23690530871965637,0.11538461538461539,0.2,10,10
98987,25,0,0,0,0.6785038377365555,0.2,1,10,10
99382,33,0.32898368351669033,0.3125,0.16666666666666666,0.3038377318600771,0.25,0.25,10,10
99637,126,0,0,0,0.38363315291837646,0.12,1,10,10
99992,40,0,0,0,0.24936270394794904,0.25,0.25,10,10
101020,0,-0,0,0,-0,0,0,0,0
101667,216,0,0,0,0.06943122193677725,0.03125,0.125,10,10
102280,56,0.12987501165334073,0.08695652173913043,0.1111111111111111,0.6937613565160448,0.2608695652173913,1,10,10
102354,0,-0,0,0,-0,0,0,0,0
102607,28,0.12987501165334073,0.125,0.1111111111111111,0.3381686774636725,0.25,0.5,10,10
103021,112,0,0,0,0,0,0,10,10
103102,0,-0,0,0,-0,0,0,0,0
104024,227,0,0,0,0,0,0,10,10
104542,0,-0,0,0,-0,0,0,0,0
104834,64,0,0,0,0.4341754806679218,0.25,1,10,10
105721,64,0,0,0,0.4011248950259844,0.125,0.25,10,10
105731,42,0,0,0,0,0,0,10,10
106135,26,0.5309999066793252,0.28,0.25,0.6812060741152737,0.28,1,10,10
106582,1215854,0,0,0,0,0,0,10,10
106585,1215854,0,0,0,0,0,0,10,10
106856,53,0.27267015568947806,0.25,0.14285714285714285,0.4735717030454861,0.3125,0.5,10,10
107099,60,0,0,0,0.35895421017163465,0.125,1,10,10
107869,658,0,0,0,0.3052348839397011,0.038461538461538464,1,10,10
107973,111,0.43621154230977444,0.375,0.2,0.17318663334822612,0.125,0.25,10,10
108231,463,0,0,0,0,0,0,10,10
108621,54,0,0,0,0,0,0,10,10
108983,59,0,0,0,0.45374257454118544,0.13043478260869565,1,10,10
109164,58,0.22119341301481263,0.1875,0.16666666666666666,0.1396181455537491,0.125,0.14285714285714285,10,10
110350,61,0,0,0,0.22009176629808014,0.07692307692307693,1,10,10
110384,248,0,0,0,0,0,0,10,10
110726,50,0,0,0,0.4170606134915054,0.25,0.5,10,10
113773,46,0,0,0,0.28088150105118154,0.08333333333333333,0.5,10,10
114507,64,0,0,0,0.6163668470816234,0.175,0.5,10,10
114826,57,0,0,0,0.1388624438735545,0.0625,0.5,10,10
114939,307,0,0,0,0,0,0,10,10
115542,46,0,0,0,0.3063365306564336,0.25,0.2,10,10
115749,121,0,0,0,0.07839826897867533,0.0625,0.16666666666666666,10,10
115848,60,0,0,0,0.18340980524840012,0.07407407407407407,0.3333333333333333,10,10
